"filename", "language", "PHP", "HTML", "JavaScript", "SQL", "CSS", "comment", "blank", "total"
"c:\xampp\htdocs\esukandb\admin\addEquipment.php", "PHP", 21, 0, 0, 0, 0, 1, 5, 27
"c:\xampp\htdocs\esukandb\admin\bookStatus.php", "PHP", 44, 0, 0, 0, 0, 1, 1, 46
"c:\xampp\htdocs\esukandb\admin\css\style.css", "CSS", 0, 0, 0, 0, 318, 1, 6, 325
"c:\xampp\htdocs\esukandb\admin\deleteBooking.php", "PHP", 19, 0, 0, 0, 0, 1, 2, 22
"c:\xampp\htdocs\esukandb\admin\deleteEquipment.php", "PHP", 13, 0, 0, 0, 0, 1, 1, 15
"c:\xampp\htdocs\esukandb\admin\deleteUser.php", "PHP", 18, 0, 0, 0, 0, 1, 2, 21
"c:\xampp\htdocs\esukandb\admin\index.php", "PHP", 309, 0, 0, 0, 0, 0, 12, 321
"c:\xampp\htdocs\esukandb\admin\managebooking.php", "PHP", 92, 0, 0, 0, 0, 0, 7, 99
"c:\xampp\htdocs\esukandb\admin\saveEquipment.php", "PHP", 16, 0, 0, 0, 0, 0, 2, 18
"c:\xampp\htdocs\esukandb\admin\search.php", "PHP", 92, 0, 0, 0, 0, 0, 9, 101
"c:\xampp\htdocs\esukandb\admin\searchEquipment.php", "PHP", 70, 0, 0, 0, 0, 1, 10, 81
"c:\xampp\htdocs\esukandb\admin\updateAdmin.php", "PHP", 53, 0, 0, 0, 0, 2, 2, 57
"c:\xampp\htdocs\esukandb\admin\updateAdminProcess.php", "PHP", 29, 0, 0, 0, 0, 0, 1, 30
"c:\xampp\htdocs\esukandb\admin\updateEquipment.php", "PHP", 41, 0, 0, 0, 0, 2, 1, 44
"c:\xampp\htdocs\esukandb\admin\updateEquipmentProcess.php", "PHP", 28, 0, 0, 0, 0, 0, 1, 29
"c:\xampp\htdocs\esukandb\admin\verifyBooking.php", "PHP", 76, 0, 0, 0, 0, 3, 4, 83
"c:\xampp\htdocs\esukandb\admin\viewEquipment.php", "PHP", 93, 0, 0, 0, 0, 1, 8, 102
"c:\xampp\htdocs\esukandb\admin\viewUser.php", "PHP", 175, 0, 0, 0, 0, 7, 29, 211
"c:\xampp\htdocs\esukandb\css\style.css", "CSS", 0, 0, 0, 0, 260, 0, 47, 307
"c:\xampp\htdocs\esukandb\dashboard\css\style.css", "CSS", 0, 0, 0, 0, 212, 0, 5, 217
"c:\xampp\htdocs\esukandb\dashboard\index copy.html", "HTML", 0, 141, 0, 0, 0, 0, 23, 164
"c:\xampp\htdocs\esukandb\dashboard\index.php", "PHP", 141, 0, 0, 0, 0, 0, 23, 164
"c:\xampp\htdocs\esukandb\db_add_user.php", "PHP", 20, 0, 0, 0, 0, 3, 5, 28
"c:\xampp\htdocs\esukandb\esukandb.sql", "SQL", 0, 0, 0, 96, 0, 70, 41, 207
"c:\xampp\htdocs\esukandb\include\dbconn.php", "PHP", 7, 0, 0, 0, 0, 1, 0, 8
"c:\xampp\htdocs\esukandb\include\navbarAdmin.php", "PHP", 45, 0, 0, 0, 0, 0, 3, 48
"c:\xampp\htdocs\esukandb\include\navbarUser.php", "PHP", 32, 0, 0, 0, 0, 0, 1, 33
"c:\xampp\htdocs\esukandb\index.html", "HTML", 0, 90, 0, 0, 0, 22, 4, 116
"c:\xampp\htdocs\esukandb\indexwrong.html", "HTML", 0, 87, 0, 0, 0, 22, 6, 115
"c:\xampp\htdocs\esukandb\js\script.js", "JavaScript", 0, 0, 122, 0, 0, 21, 22, 165
"c:\xampp\htdocs\esukandb\logout.php", "PHP", 7, 0, 0, 0, 0, 4, 7, 18
"c:\xampp\htdocs\esukandb\process.php", "PHP", 31, 0, 0, 0, 0, 9, 6, 46
"c:\xampp\htdocs\esukandb\session.php", "PHP", 9, 0, 0, 0, 0, 3, 4, 16
"c:\xampp\htdocs\esukandb\user\book1.php", "PHP", 32, 0, 0, 0, 0, 22, 1, 55
"c:\xampp\htdocs\esukandb\user\book2.php", "PHP", 33, 0, 0, 0, 0, 1, 1, 35
"c:\xampp\htdocs\esukandb\user\bookEquipment.php", "PHP", 95, 0, 0, 0, 0, 0, 9, 104
"c:\xampp\htdocs\esukandb\user\booking.php", "PHP", 99, 0, 0, 0, 0, 0, 7, 106
"c:\xampp\htdocs\esukandb\user\claimRetrieve.php", "PHP", 24, 0, 0, 0, 0, 0, 2, 26
"c:\xampp\htdocs\esukandb\user\css\style.css", "CSS", 0, 0, 0, 0, 318, 1, 6, 325
"c:\xampp\htdocs\esukandb\user\index.php", "PHP", 160, 0, 0, 0, 0, 0, 7, 167
"c:\xampp\htdocs\esukandb\user\search.php", "PHP", 110, 0, 0, 0, 0, 0, 10, 120
"c:\xampp\htdocs\esukandb\user\searchEquipment.php", "PHP", 70, 0, 0, 0, 0, 1, 10, 81
"c:\xampp\htdocs\esukandb\user\updateUserProcess.php", "PHP", 29, 0, 0, 0, 0, 0, 1, 30
"c:\xampp\htdocs\esukandb\user\viewEquipment.php", "PHP", 79, 0, 0, 0, 0, 1, 41, 121
"c:\xampp\htdocs\esukandb\user\viewUser.php", "PHP", 53, 0, 0, 0, 0, 2, 2, 57
"Total", "-", 2265, 318, 122, 96, 1108, 205, 397, 4511